ID,X,Y
58,0.0,1.0
58,0.0,0.0
58,-0.676,0.34
58,0.743,0.5
59,-0.889,0.24
59,0.0,1.0
59,0.0,0.0
59,0.328,0.13
60,0.0,1.0
60,-0.785,0.62
60,0.0,0.0
60,-0.235,0.44
61,0.0,0.0
61,0.446,0.1
61,0.794,0.52
61,0.0,1.0
62,0.0,0.0
62,0.043,0.61
62,0.348,0.68
62,0.0,1.0
63,0.0,0.0
63,-0.366,0.54
63,0.727,0.7
63,0.0,1.0
64,0.604,0.67
64,0.0,1.0
64,0.0,0.0
64,0.313,0.42
65,0.0,1.0
65,-0.797,0.35
65,0.0,0.0
65,0.394,0.34
66,0.0,0.0
66,-0.463,0.31
66,-0.026,0.42
66,0.0,1.0
67,0.0,0.0
67,0.15,0.03
67,0.806,0.15
67,0.0,1.0
68,0.845,0.19
68,0.0,0.0
68,0.681,0.04
68,0.0,1.0
69,0.0,1.0
69,0.422,0.47
69,0.763,0.19
69,0.0,0.0
70,0.0,0.0
70,0.604,0.09
70,-0.62,0.43
70,0.0,1.0
71,0.0,0.0
71,-0.477,0.5
71,-0.746,0.55
71,0.0,1.0
72,0.0,0.0
72,-0.172,0.39
72,0.881,0.63
72,0.0,1.0
73,-0.028,0.39
73,0.0,1.0
73,0.0,0.0
73,-0.899,0.29
74,0.0,0.0
74,0.543,0.21
74,0.75,0.62
74,0.0,1.0
75,-0.897,0.75
75,0.0,1.0
75,0.0,0.0
75,0.327,0.53
76,0.0,0.0
76,-0.375,0.38
76,0.501,0.55
76,0.0,1.0
77,0.0,1.0
77,0.0,0.0
77,0.563,0.07
77,0.054,0.29
78,-0.631,0.1
78,0.46,0.18
78,0.0,0.0
78,0.0,1.0
79,0.0,1.0
79,0.357,0.39
79,0.0,0.0
79,0.15,0.37
80,0.0,0.0
80,0.342,0.4
80,0.295,0.77
80,0.0,1.0
81,0.0,0.0
81,-0.822,0.17
81,-0.474,0.42
81,0.0,1.0
82,0.0,1.0
82,-0.925,0.66
82,0.0,0.0
82,-0.455,0.08
83,0.0,0.0
83,0.974,0.32
83,-0.739,0.72
83,0.0,1.0
84,0.0,1.0
84,0.469,0.09
84,0.138,0.06
84,0.0,0.0
85,0.0,0.0
85,-0.67,0.14
85,0.705,0.5
85,0.0,1.0
86,-0.434,0.12
86,0.0,1.0
86,0.0,0.0
86,-0.245,0.11
87,0.0,0.0
87,0.07,0.4
87,0.087,0.44
87,0.0,1.0
88,0.0,1.0
88,0.0,0.0
88,-0.694,0.39
88,-0.334,0.42
89,0.0,1.0
89,0.97,0.37
89,-0.594,0.26
89,0.0,0.0
90,0.0,0.0
90,0.333,0.16
90,0.53,0.28
90,0.0,1.0
91,0.149,0.62
91,0.0,1.0
91,0.0,0.0
91,-0.452,0.32
92,0.0,0.0
92,-0.247,0.35
92,0.254,0.54
92,0.0,1.0
93,0.0,0.0
93,0.69,0.08
93,-0.913,0.31
93,0.0,1.0
94,0.0,1.0
94,0.946,0.15
94,0.0,0.0
94,0.791,0.3
95,0.0,0.0
95,-0.798,0.03
95,0.19,0.52
95,0.0,1.0
96,0.0,1.0
96,0.0,0.0
96,-0.03,0.06
96,-0.44,0.25
97,0.0,0.0
97,-0.984,0.72
97,-0.044,0.94
97,0.0,1.0
98,-0.729,0.28
98,0.389,0.29
98,0.0,0.0
98,0.0,1.0
99,0.0,1.0
99,0.026,0.55
99,0.0,0.0
99,-0.497,0.18
100,0.0,0.0
100,-0.827,0.04
100,0.889,0.47
100,0.0,1.0
101,-0.555,0.6
101,0.0,1.0
101,0.0,0.0
101,0.39,0.04
102,0.0,0.0
102,-0.899,0.38
102,-0.955,0.39
102,0.0,1.0
103,0.0,0.0
103,-0.249,0.08
103,-0.733,0.41
103,0.0,1.0
104,0.0,1.0
104,0.868,0.81
104,0.0,0.0
104,-0.945,0.42
105,0.0,0.0
105,0.595,0.11
105,0.269,0.27
105,0.0,1.0
106,0.0,0.0
106,0.417,0.08
106,-0.229,0.25
106,0.0,1.0
107,0.0,1.0
107,0.0,0.0
107,-0.265,0.12
107,0.182,0.13
108,-0.048,0.09
108,0.0,1.0
108,0.0,0.0
108,0.785,0.01
109,0.0,1.0
109,-0.412,0.32
109,0.0,0.0
109,-0.892,0.18
110,0.0,0.0
110,-0.473,0.66
110,0.706,0.78
110,0.0,1.0
111,0.0,0.0
111,-0.363,0.16
111,0.154,0.38
111,0.0,1.0
112,0.0,0.0
112,-0.897,0.34
112,-0.811,0.4
112,0.0,1.0
113,0.0,1.0
113,0.103,0.22
113,0.114,0.11
113,0.0,0.0
114,0.0,0.0
114,0.117,0.65
114,0.807,0.77
114,0.0,1.0
115,0.0,0.0
115,0.298,0.32
115,-0.815,0.36
115,0.0,1.0
116,0.0,0.0
116,-0.147,0.01
116,-0.441,0.04
116,0.0,1.0
117,-0.99,0.22
117,0.779,0.56
117,0.0,0.0
117,0.0,1.0
118,0.0,1.0
118,0.298,0.09
118,0.303,0.05
118,0.0,0.0
119,0.0,0.0
119,-0.654,0.08
119,0.855,0.6
119,0.0,1.0
120,0.0,0.0
120,0.253,0.07
120,-0.722,0.26
120,0.0,1.0
121,0.0,0.0
121,-0.869,0.04
121,0.449,0.21
121,0.0,1.0
122,0.99,0.68
122,0.0,1.0
122,0.0,0.0
122,0.652,0.06
123,0.0,0.0
123,0.063,0.35
123,-0.853,0.67
123,0.0,1.0
124,0.875,0.65
124,0.0,1.0
124,0.0,0.0
124,-0.945,0.02
125,0.0,0.0
125,-0.137,0.12
125,0.116,0.42
125,0.0,1.0
126,0.0,1.0
126,0.0,0.0
126,-0.201,0.27
126,-0.18,0.33
127,0.601,0.63
127,0.0,1.0
127,0.0,0.0
127,-0.243,0.46
128,0.0,0.0
128,0.086,0.29
128,0.476,0.3
128,0.0,1.0
129,-0.767,0.48
129,0.0,1.0
129,0.0,0.0
129,-0.284,0.2
130,0.253,0.09
130,-0.175,0.11
130,0.0,1.0
130,0.0,0.0
131,0.0,0.0
131,-0.905,0.06
131,-0.454,0.27
131,0.0,1.0
132,0.758,0.41
132,0.0,1.0
132,0.628,0.19
132,0.0,0.0
133,0.0,0.0
133,0.64,0.45
133,-0.771,0.5
133,0.0,1.0
134,0.0,1.0
134,0.0,0.0
134,-0.176,0.08
134,-0.136,0.09
135,0.0,0.0
135,0.172,0.6
135,-0.441,0.78
135,0.0,1.0
136,-0.022,0.95
136,0.0,1.0
136,0.0,0.0
136,-0.192,0.27
137,-0.143,0.36
137,0.0,1.0
137,0.0,0.0
137,0.322,0.28
138,0.0,0.0
138,-0.354,0.12
138,0.266,0.38
138,0.0,1.0
139,-0.49,0.41
139,0.0,1.0
139,0.0,0.0
139,-0.756,0.32
140,0.682,0.34
140,-0.843,0.98
140,0.0,1.0
140,0.0,0.0
141,0.0,0.0
141,0.965,0.42
141,0.48,0.79
141,0.0,1.0
142,-0.097,0.4
142,0.0,1.0
142,0.422,0.36
142,0.0,0.0
143,0.0,0.0
143,-0.652,0.0
143,0.594,0.83
143,0.0,1.0
144,0.0,1.0
144,0.0,0.0
144,0.498,0.23
144,-0.45,0.65
145,0.0,1.0
145,-0.219,0.23
145,0.0,0.0
145,-0.094,0.16
146,0.389,0.75
146,0.0,0.0
146,-0.461,0.69
146,0.0,1.0
147,0.0,1.0
147,0.419,0.31
147,0.0,0.0
147,0.444,0.09
148,0.0,0.0
148,-0.933,0.08
148,0.971,0.1
148,0.0,1.0
149,0.0,0.0
149,-0.314,0.07
149,0.108,0.68
149,0.0,1.0
150,0.0,1.0
150,0.149,0.6
150,0.0,0.0
150,-0.342,0.6
151,0.0,0.0
151,0.13,0.15
151,0.196,0.68
151,0.0,1.0
152,0.624,0.52
152,0.0,1.0
152,-0.754,0.13
152,0.0,0.0
153,0.0,0.0
153,-0.015,0.33
153,0.12,0.58
153,0.0,1.0
154,0.0,0.0
154,-0.329,0.07
154,-0.643,0.33
154,0.0,1.0
155,0.0,1.0
155,0.0,0.0
155,0.692,0.04
155,0.237,0.41
156,0.441,0.55
156,-0.255,0.75
156,0.0,0.0
156,0.0,1.0
157,0.0,1.0
157,-0.586,0.1
157,0.0,0.0
157,0.821,0.09
158,0.0,0.0
158,-0.962,0.02
158,0.907,0.17
158,0.0,1.0
159,0.0,0.0
159,-0.892,0.01
159,-0.556,0.27
159,0.0,1.0
160,0.0,0.0
160,-0.479,0.27
160,0.252,0.33
160,0.0,1.0
161,-0.857,0.8
161,0.0,1.0
161,0.0,0.0
161,-0.419,0.04
162,0.0,0.0
162,0.692,0.07
162,0.068,0.95
162,0.0,1.0
163,0.864,0.48
163,0.0,1.0
163,0.0,0.0
163,-0.088,0.08
164,0.0,0.0
164,0.392,0.37
164,-0.444,0.81
164,0.0,1.0
165,0.0,1.0
165,0.0,0.0
165,-0.593,0.36
165,0.168,0.51
166,0.953,0.37
166,0.0,1.0
166,0.0,0.0
166,-0.436,0.29
167,0.0,0.0
167,0.35,0.53
167,-0.651,0.72
167,0.0,1.0
168,0.881,0.55
168,0.0,1.0
168,0.0,0.0
168,0.821,0.17
169,-0.732,0.24
169,0.171,0.33
169,0.0,1.0
169,0.0,0.0
170,0.0,0.0
170,-0.334,0.53
170,-0.336,0.77
170,0.0,1.0
171,-0.099,0.44
171,0.0,1.0
171,0.618,0.14
171,0.0,0.0
172,0.0,0.0
172,-0.217,0.08
172,-0.087,0.66
172,0.0,1.0
173,0.0,1.0
173,0.0,0.0
173,0.785,0.01
173,-0.592,0.47
174,0.0,0.0
174,-0.486,0.01
174,-0.561,0.05
174,0.0,1.0
175,0.095,0.27
175,0.0,1.0
175,0.0,0.0
175,0.087,0.17
176,0.841,0.5
176,0.0,1.0
176,0.0,0.0
176,0.33,0.5
177,0.0,0.0
177,-0.508,0.44
177,-0.169,0.62
177,0.0,1.0
178,0.0,0.0
178,-0.094,0.64
178,-0.291,0.65
178,0.0,1.0
179,0.0,1.0
179,0.365,0.5
179,0.0,0.0
179,-0.156,0.41
180,0.0,1.0
180,0.0,0.0
180,-0.96,0.16
180,0.579,0.39
181,0.0,1.0
181,-0.004,0.74
181,0.484,0.12
181,0.0,0.0
182,0.0,0.0
182,0.47,0.26
182,0.499,0.64
182,0.0,1.0
183,-0.691,0.51
183,0.0,1.0
183,0.0,0.0
183,0.718,0.22
184,0.0,0.0
184,0.003,0.0
184,0.718,0.04
184,0.0,1.0
185,0.0,0.0
185,-0.143,0.12
185,0.158,0.6
185,0.0,1.0
186,-0.345,0.21
186,0.0,1.0
186,0.118,0.01
186,0.0,0.0
187,0.0,0.0
187,-0.438,0.28
187,0.576,0.53
187,0.0,1.0
188,0.0,0.0
188,0.325,0.39
188,0.806,0.88
188,0.0,1.0
189,0.0,1.0
189,-0.377,0.3
189,0.0,0.0
189,-0.76,0.17
190,0.0,0.0
190,0.426,0.3
190,-0.454,0.33
190,0.0,1.0
191,0.16,0.39
191,0.0,1.0
191,-0.327,0.32
191,0.0,0.0
192,0.0,0.0
192,0.903,0.47
192,-0.34,0.47
192,0.0,1.0
193,0.0,0.0
193,0.643,0.3
193,0.746,0.83
193,0.0,1.0
194,0.0,1.0
194,0.0,0.0
194,0.768,0.07
194,0.637,0.74
195,-0.798,0.37
195,0.0,1.0
195,0.0,0.0
195,-0.995,0.31
196,0.0,1.0
196,-0.083,0.44
196,0.931,0.24
196,0.0,0.0
197,0.0,0.0
197,0.268,0.04
197,0.82,0.26
197,0.0,1.0
198,0.0,0.0
198,0.823,0.35
198,0.7,0.59
198,0.0,1.0
199,0.0,0.0
199,0.584,0.32
199,-0.452,0.73
199,0.0,1.0
200,-0.553,0.84
200,0.0,1.0
200,0.0,0.0
200,-0.278,0.75
201,0.0,0.0
201,0.479,0.07
201,-0.987,0.16
201,0.0,1.0
202,0.416,0.46
202,0.0,1.0
202,0.0,0.0
202,0.965,0.05
203,0.0,0.0
203,-0.885,0.31
203,-0.528,0.77
203,0.0,1.0
204,0.0,1.0
204,0.0,0.0
204,-0.337,0.1
204,0.928,0.72
205,0.548,0.36
205,0.0,1.0
205,0.0,0.0
205,0.357,0.04
206,0.0,0.0
206,0.191,0.24
206,0.243,0.42
206,0.0,1.0
207,-0.251,0.22
207,0.0,1.0
207,0.0,0.0
207,0.62,0.17
208,0.023,0.32
208,0.939,0.68
208,0.0,1.0
208,0.0,0.0
209,0.0,0.0
209,0.293,0.24
209,-0.586,0.81
209,0.0,1.0
210,-0.592,0.16
210,0.0,1.0
210,-0.801,0.12
210,0.0,0.0
211,0.0,0.0
211,-0.524,0.29
211,0.624,0.58
211,0.0,1.0
212,0.0,1.0
212,0.0,0.0
212,0.93,0.22
212,-0.953,0.43
213,0.0,0.0
213,0.751,0.19
213,-0.196,0.19
213,0.0,1.0
214,-0.524,0.33
214,0.0,1.0
214,0.0,0.0
214,0.435,0.2
215,0.0,1.0
215,0.806,0.42
215,0.636,0.28
215,0.0,0.0
216,0.0,0.0
216,-0.213,0.41
216,0.148,0.51
216,0.0,1.0
217,-0.093,0.19
217,0.0,1.0
217,0.0,0.0
217,-0.429,0.12
218,0.0,0.0
218,-0.188,0.16
218,0.976,0.73
218,0.0,1.0
219,0.0,0.0
219,-0.804,0.22
219,-0.939,0.64
219,0.0,1.0
220,0.164,0.77
220,0.0,1.0
220,0.321,0.56
220,0.0,0.0
221,0.0,0.0
221,-0.561,0.04
221,0.604,0.1
221,0.0,1.0
222,0.0,0.0
222,0.329,0.0
222,-0.99,0.11
222,0.0,1.0
223,0.0,1.0
223,0.0,0.0
223,0.19,0.16
223,-0.706,0.82
224,0.157,0.72
224,0.0,1.0
224,0.0,0.0
224,0.688,0.08
225,0.0,1.0
225,-0.761,0.96
225,0.0,0.0
225,-0.393,0.33
226,0.0,0.0
226,-0.966,0.45
226,0.032,0.79
226,0.0,1.0
227,0.0,0.0
227,0.111,0.25
227,-0.778,0.26
227,0.0,1.0
228,0.0,0.0
228,0.968,0.0
228,0.306,0.09
228,0.0,1.0
229,0.0,1.0
229,-0.764,0.38
229,0.076,0.18
229,0.0,0.0
230,0.0,0.0
230,-0.523,0.18
230,-0.139,0.8
230,0.0,1.0
231,0.0,0.0
231,0.827,0.2
231,-0.755,0.53
231,0.0,1.0
232,0.0,0.0
232,0.894,0.04
232,0.014,0.18
232,0.0,1.0
233,0.254,0.77
233,0.0,1.0
233,0.0,0.0
233,-0.322,0.5
234,0.931,0.49
234,-0.828,0.52
234,0.0,0.0
234,0.0,1.0
235,0.0,1.0
235,0.728,0.84
235,0.211,0.59
235,0.0,0.0
236,0.0,0.0
236,-0.861,0.32
236,0.566,0.69
236,0.0,1.0
237,0.0,0.0
237,0.976,0.32
237,0.346,0.53
237,0.0,1.0
238,0.0,1.0
238,0.169,0.52
238,0.0,0.0
238,-0.471,0.12
239,0.0,0.0
239,-0.361,0.57
239,-0.425,0.66
239,0.0,1.0
240,0.0,1.0
240,0.778,0.66
240,-0.37,0.03
240,0.0,0.0
241,0.0,0.0
241,0.056,0.22
241,-0.821,0.41
241,0.0,1.0
242,0.082,0.83
242,0.0,1.0
242,0.0,0.0
242,0.779,0.14
243,0.0,0.0
243,0.396,0.25
243,0.681,0.29
243,0.0,1.0
244,0.0,1.0
244,0.0,0.0
244,-0.046,0.15
244,0.664,0.24
245,0.0,1.0
245,-0.398,0.16
245,-0.081,0.11
245,0.0,0.0
246,0.0,0.0
246,0.561,0.17
246,-0.755,0.44
246,0.0,1.0
247,-0.87,0.18
247,0.0,1.0
247,0.0,0.0
247,0.799,0.05
248,0.0,0.0
248,-0.66,0.03
248,-0.817,0.3
248,0.0,1.0
249,0.0,0.0
249,0.234,0.0
249,-0.784,0.68
249,0.0,1.0
250,0.0,1.0
250,-0.077,0.12
250,0.0,0.0
250,0.071,0.37
251,0.0,0.0
251,-0.969,0.3
251,-0.816,0.59
251,0.0,1.0
252,0.0,1.0
252,0.0,0.0
252,-0.197,0.06
252,-0.598,0.24
253,0.0,0.0
253,-0.918,0.07
253,0.795,0.2
253,0.0,1.0
254,0.362,0.03
254,0.833,0.14
254,0.0,0.0
254,0.0,1.0
255,0.0,1.0
255,-0.88,0.63
255,0.0,0.0
255,0.889,0.16
256,0.0,0.0
256,0.164,0.04
256,0.968,0.31
256,0.0,1.0
257,0.393,0.45
257,0.0,1.0
257,0.0,0.0
257,-0.96,0.32
258,0.0,0.0
258,-0.647,0.1
258,0.649,0.53
258,0.0,1.0
259,0.0,0.0
259,-0.558,0.35
259,0.907,0.43
259,0.0,1.0
260,0.0,1.0
260,0.483,0.86
260,0.0,0.0
260,0.108,0.73
261,0.0,0.0
261,-0.013,0.29
261,-0.368,0.6
261,0.0,1.0
262,0.0,0.0
262,-0.17,0.24
262,-0.292,0.94
262,0.0,1.0
263,0.0,1.0
263,0.0,0.0
263,-0.722,0.08
263,-0.335,0.55
264,-0.945,0.28
264,0.0,1.0
264,0.0,0.0
264,0.343,0.1
265,0.0,1.0
265,-0.7,0.34
265,0.0,0.0
265,-0.436,0.04
266,0.0,0.0
266,-0.475,0.19
266,0.33,0.84
266,0.0,1.0
267,0.0,0.0
267,0.936,0.01
267,-0.41,0.34
267,0.0,1.0
268,0.0,0.0
268,0.574,0.38
268,0.123,0.5
268,0.0,1.0
269,0.0,1.0
269,-0.682,0.69
269,-0.14,0.55
269,0.0,0.0
270,0.0,0.0
270,0.034,0.17
270,0.122,0.35
270,0.0,1.0
271,0.0,0.0
271,-0.532,0.31
271,-0.694,0.78
271,0.0,1.0
272,0.0,0.0
272,0.465,0.26
272,-0.021,0.55
272,0.0,1.0
273,-0.506,0.02
273,-0.907,0.73
273,0.0,0.0
273,0.0,1.0
274,0.0,1.0
274,-0.306,0.61
274,-0.448,0.17
274,0.0,0.0
275,0.0,0.0
275,0.813,0.05
275,-0.645,0.05
275,0.0,1.0
276,0.0,0.0
276,-0.1,0.49
276,0.229,0.99
276,0.0,1.0
277,0.0,0.0
277,-0.517,0.63
277,-0.265,0.64
277,0.0,1.0
278,-0.117,0.65
278,0.0,1.0
278,0.0,0.0
278,0.423,0.47
279,0.0,0.0
279,-0.422,0.39
279,-0.873,0.82
279,0.0,1.0
280,0.923,0.23
280,0.0,1.0
280,0.0,0.0
280,0.966,0.05
281,0.0,0.0
281,-0.425,0.37
281,0.611,0.4
281,0.0,1.0
282,0.0,1.0
282,0.0,0.0
282,0.471,0.34
282,0.963,0.45
283,-0.283,0.22
283,0.0,1.0
283,0.0,0.0
283,-0.379,0.09
284,0.0,0.0
284,0.616,0.02
284,-0.441,0.23
284,0.0,1.0
285,-0.619,0.94
285,0.0,1.0
285,0.0,0.0
285,0.932,0.74
286,-0.21,0.38
286,-0.321,0.62
286,0.0,1.0
286,0.0,0.0
287,0.0,0.0
287,-0.492,0.71
287,0.199,0.93
287,0.0,1.0
288,0.689,0.07
288,0.0,1.0
288,-0.066,0.04
288,0.0,0.0
289,0.0,0.0
289,-0.901,0.32
289,0.246,0.45
289,0.0,1.0
290,0.0,1.0
290,0.0,0.0
290,0.249,0.12
290,-0.778,0.78
291,0.0,0.0
291,0.063,0.14
291,0.574,0.32
291,0.0,1.0
292,0.885,0.35
292,0.0,1.0
292,0.0,0.0
292,-0.278,0.07
293,-0.062,0.47
293,0.0,1.0
293,0.0,0.0
293,-0.67,0.46
294,0.0,0.0
294,0.172,0.23
294,-0.673,0.34
294,0.0,1.0
295,0.36,0.59
295,0.0,1.0
295,0.0,0.0
295,0.851,0.44
296,0.923,0.06
296,0.204,0.83
296,0.0,1.0
296,0.0,0.0
297,0.0,0.0
297,0.183,0.21
297,0.996,0.59
297,0.0,1.0
298,-0.405,0.65
298,0.0,1.0
298,0.735,0.23
298,0.0,0.0
299,0.0,0.0
299,0.401,0.02
299,0.471,0.55
299,0.0,1.0
300,0.0,1.0
300,0.0,0.0
300,-0.781,0.45
300,0.204,0.67
301,0.0,1.0
301,0.594,0.56
301,0.0,0.0
301,0.177,0.31
302,0.264,0.74
302,0.0,0.0
302,0.276,0.21
302,0.0,1.0
303,0.0,1.0
303,-0.469,0.12
303,0.0,0.0
303,-0.527,0.09
304,0.0,0.0
304,0.011,0.02
304,-0.653,0.82
304,0.0,1.0
305,0.0,0.0
305,-0.731,0.16
305,-0.352,0.21
305,0.0,1.0
306,0.0,1.0
306,0.712,0.65
306,0.0,0.0
306,0.569,0.45
307,0.0,0.0
307,-0.267,0.65
307,-0.933,0.86
307,0.0,1.0
308,-0.599,0.18
308,0.0,1.0
308,-0.875,0.07
308,0.0,0.0
309,0.0,0.0
309,-0.416,0.06
309,-0.807,0.63
309,0.0,1.0
310,0.0,0.0
310,-0.976,0.41
310,-0.032,0.48
310,0.0,1.0
311,0.0,1.0
311,0.0,0.0
311,-0.238,0.35
311,-0.374,0.63
312,0.572,0.0
312,0.055,0.22
312,0.0,0.0
312,0.0,1.0
313,0.0,1.0
313,-0.962,0.32
313,0.0,0.0
313,-0.632,0.16
314,0.0,0.0
314,0.899,0.28
314,-0.625,0.43
314,0.0,1.0
315,0.0,0.0
315,-0.353,0.12
315,0.931,0.55
315,0.0,1.0
316,0.0,1.0
316,0.829,0.82
316,0.0,0.0
316,0.03,0.58
317,0.0,0.0
317,-0.267,0.23
317,0.16,0.76
317,0.0,1.0
318,0.0,1.0
318,-0.021,0.41
318,0.281,0.01
318,0.0,0.0
319,0.0,0.0
319,-0.331,0.55
319,0.967,0.79
319,0.0,1.0
320,0.323,0.43
320,0.0,1.0
320,0.0,0.0
320,-0.74,0.3
321,0.0,0.0
321,-0.204,0.09
321,0.835,0.1
321,0.0,1.0
322,0.0,1.0
322,0.0,0.0
322,0.84,0.11
322,-0.292,0.75
323,0.0,1.0
323,0.054,0.16
323,0.932,0.06
323,0.0,0.0
324,0.0,0.0
324,0.364,0.0
324,-0.683,0.63
324,0.0,1.0
325,-0.476,0.27
325,0.0,1.0
325,0.0,0.0
325,0.99,0.19
326,0.0,0.0
326,0.783,0.3
326,0.547,0.45
326,0.0,1.0
327,0.0,0.0
327,-0.533,0.25
327,0.114,0.58
327,0.0,1.0
328,0.0,1.0
328,0.124,0.01
328,0.0,0.0
328,-0.119,0.29
329,0.0,0.0
329,0.473,0.31
329,0.056,0.8
329,0.0,1.0
330,0.0,1.0
330,0.0,0.0
330,0.004,0.32
330,-0.36,0.52
331,0.0,0.0
331,0.675,0.08
331,0.52,0.09
331,0.0,1.0
332,-0.376,0.01
332,0.65,0.82
332,0.0,0.0
332,0.0,1.0
333,0.0,1.0
333,0.73,0.56
333,0.0,0.0
333,-0.839,0.53
334,0.0,0.0
334,0.725,0.39
334,-0.337,0.63
334,0.0,1.0
335,0.127,0.79
335,0.0,1.0
335,0.0,0.0
335,-0.475,0.56
336,0.0,0.0
336,0.864,0.7
336,0.782,0.74
336,0.0,1.0
337,0.0,0.0
337,-0.13,0.74
337,-0.727,0.8
337,0.0,1.0
338,0.0,1.0
338,0.572,0.31
338,0.0,0.0
338,-0.76,0.09
339,0.0,0.0
339,0.601,0.12
339,-0.845,0.27
339,0.0,1.0
340,0.0,0.0
340,-0.609,0.28
340,0.759,0.68
340,0.0,1.0
341,0.0,1.0
341,0.0,0.0
341,-0.317,0.18
341,-0.357,0.69
